Keyword,Significance,Support,Frequency
"естественный отбор",1.160581,2,2
"естество",0.056108,2,3
"ется",0.015143,3,3
"жаба",0.07607,2,2
"жадность",0.293158,5,6
"жажда",1.040975,13,14
"жакет",0.085294,4,4
"жало",0.020121,1,4
"жанр",3.987732,59,62
"жанрист",0.013429,2,2
"жар",2.746786,43,56
"жара",0.668632,8,8
"жаришка",0.013429,2,2
"жарка",0.067851,4,4
"жаркое",0.03592,2,2
"жасмин",0.041882,2,2
"жвачка",0.081087,3,3
"ждение",0.012424,1,2
"жей",0.013429,2,2
"желаемое",0.855339,18,19
"желание",25.923227,236,369
"желающий",0.952723,11,12
"желе",0.057291,4,5
"железа",1.703476,21,34
"железо",0.88471,9,15
"желток",0.211235,5,7
"желтуха",0.048111,5,7
"желтушник",0.012424,1,2
"желудок",1.974618,20,31
"желчный пузырь",0.805583,7,14
"жемчуг",0.15932,4,4
"жемчужина",0.252362,5,5
"жена",13.943073,122,213
"женитьба",0.109105,3,3
"жених",0.724159,7,12
"женишок",0.012424,1,2
"женскийбизнес",0.015143,3,3
"женственность",0.122703,4,4
"женщина",39.018087,326,619
"жертва",5.0734,56,62
"жертвоприношение",0.082925,2,2
"жес",0.013429,2,2
"жест",1.115068,12,14
"жестикуляция",0.016802,2,2
"жестокость",0.309675,4,4
"жесть",0.046109,2,2
"жет",0.017667,4,5
"жетон",0.157493,8,13
"жжение",0.023386,2,2
"живность",0.074831,3,3
"живое существо",4.194531,10,12
"живой",1.326325,15,15
"живописность",0.016802,2,2
"живопись",0.937082,8,16
"живость",0.034599,1,2
"живот",3.010295,31,39
"животик",0.07384,2,3
"животное",6.466201,67,80
"животныекраснойкнигироссия",0.030572,12,12
"жидкость",1.568611,17,21
"жизнедеятельность",0.525591,9,10
"жизнь",100,759,1782
"жилет",0.147697,4,5
"жилец",0.912647,8,14
"жилища",0.109105,3,3
"жилой дом",6.911179,11,11
"жилплощадь",0.196593,4,4
"жильё",3.121707,29,44
"жир",2.287083,23,39
"жираф",0.046383,1,3
"жирность",0.093696,3,5
"житель",9.876361,96,138
"жительница",0.238986,3,3
"житуха",0.013086,2,2
"жмых",0.016802,2,2
"жонглирование",0.019465,1,2
"жрец",0.391562,6,9
"жрица",0.023386,2,2
"жужжание",0.013429,2,2
"жук",0.122696,3,3
"журнал",2.220171,23,28
"журналист",3.430347,34,47
"журналистика",0.304101,4,4
"журналистка",0.192373,3,3
"жучок",0.034297,1,3
"жюри",1.108121,12,14
"жёлчь",0.096971,5,5
"жёсткость",0.130344,2,2
"забава",0.173044,3,3
"забивка",0.034001,14,14
"забивочка",0.016857,4,4
"заблуждение",3.111278,31,41
"забор",1.308883,11,20
"заборчик",0.032864,2,2
"забота",7.688616,79,97
"забрало",0.119388,3,3
"завал",0.091516,2,2
"заварушка",0.025181,3,3
"заверение",0.198267,3,4
"завеса",0.107276,2,3
"завет",0.134744,2,2
"завещание",0.067333,2,2
"зависание",0.044296,3,3
"зависимость",6.091239,39,126
"завистник",0.04131,2,2
"зависть",1.256833,15,21
"завод",3.489342,34,46
"заводь",0.029756,2,2
"завтрак",2.714493,31,36
"заговор",0.588965,8,9
"заголовок",0.423548,5,5
"загон",0.138326,6,6
"загородный дом",5.057582,6,6
"заготовка",0.262155,3,3
"загранпаспорт",0.090919,2,3
"загрузка",1.168578,15,17
"загрязнение",0.922251,11,12
"загрязняющее вещество",1.257653,2,5
"зад",0.421508,10,12
"задание",9.915926,90,140
"задаток",0.112593,3,3
"задачка",0.240569,9,10
"задержка",0.591956,7,7
"задница",0.157737,4,5
"задолженность",2.001297,16,32
"задрот",0.013429,2,2
"задуманное",0.164595,4,4
"задумка",0.393308,5,5
"заезд",0.171899,4,4
"заживление",0.049601,3,4
"зажим",0.08776,6,6
"зайка",0.084432,2,2
"займ",0.020121,2,2
"зак",0.013429,2,2
"заказ",13.684713,147,163
"заказник",0.092711,4,5
"заказное письмо",1.29587,3,4
"заказчик",1.825763,19,22
"заказчица",0.095936,1,4
"закат",1.081557,15,16
"закладка",0.242371,4,4
"заклинание",0.437475,10,11
"заключение",1.428211,15,17
"заключённый",0.243184,3,5
"закон",15.397171,142,253
"закон эволюции",1.408489,1,4
"законность",0.31831,3,5
"законодатель",0.174658,2,2
"законодательство",2.493394,25,33
"закономерность",0.150684,2,2
"законопроект",1.684602,17,22
"закрепа",0.013429,2,2
"закрепление",0.789806,10,13
"закрытие",1.419466,14,18
"закрытие счета",1.55012,1,2
"закупка",1.362385,13,19
"закупщик",0.013429,2,2
"закуска",0.527127,8,11
"зал",3.017817,31,37
"зала",0.55915,7,8
"залежь",0.08068,2,2
"залив",0.269382,3,3
"заложник",0.398813,5,6
"залп",0.061234,2,2
"зам",0.201941,3,3
"замедление",0.159192,2,4
"замена",2.959351,28,40
"заменитель",0.047647,2,2
"замерзание",0.029756,2,2
"замес",0.026597,2,2
"заместитель",0.827263,9,10
"заместитель генерального директора",3.082185,7,7
"заместитель директора",2.282182,6,6
"заместитель председателя",1.03293,3,3
"заместитель руководителя",2.145873,5,5
"замечание",1.249857,13,15
"замешательство",0.368669,10,11
"замкнутый круг",1.386319,3,3
"замкнутый цикл",1.260174,3,3
"заммэра",0.180129,7,7
"замок",1.919482,19,26
"замораживание",0.053221,2,2
"замётка",1.365925,16,17
"занавеска",0.164595,4,4
"занижение",0.023386,2,2
"заноза",0.029756,2,2
"занос",0.050457,2,2
"занятие",7.356482,73,102
"занятость",0.697837,6,10
"запад",0.439432,6,6
"западня",0.279382,36,45
"запас",3.668125,40,44
"запасной",0.069533,2,3
"запах",3.464814,33,47
"запеканка",0.020121,2,2
"записка",0.522404,7,7
"запись",13.615997,153,171
"заповедник",3.895735,28,117
"заповедныемест",0.030572,12,12
"заповедь",0.315726,5,5
"запой",0.145136,3,6
"заполнение",3.662161,35,66
"запор",0.190621,9,13
"заправка",0.587549,8,10
"запрет",2.349456,23,32
"запрос",5.239161,53,66
"запус",0.016857,4,4
"запуск",4.937973,52,62
"запутанность",0.106795,27,30
"запчасть",0.249506,4,5
"зарабатывание",0.061234,2,2
"заработная плата",2.157776,9,20
"заражение",0.103296,2,2
"зарисовка",0.162937,4,5
"зародыш",0.066351,2,2
"зарождение",0.075633,2,2
"заросль",0.701688,16,18
"зарплата",3.797224,38,49
"зарумянивание",0.013429,2,2
"заряд",1.142034,14,17
"зарядка",0.254043,5,5
"заряжание",0.02397,1,2
"зарянка",0.012424,1,2
"засада",0.214424,4,5
"заселение",0.066351,2,2
"заслуга",1.248434,13,15
"заставка",0.072615,5,6
"застенчивость",0.052971,1,5
"застой",0.783872,11,12
"застолье",0.082925,2,2
"застревание",0.013429,2,2
"застройка",0.1337,1,2
"застройщик",0.186176,2,2
"заступление",0.019465,1,2
"заступничество",0.052607,2,3
"засуха",0.298909,5,6
"затворник",0.06508,5,5
"затея",0.210467,3,3
"затмение",0.076277,3,7
"затопление",0.165241,2,3
"заточка",0.020121,2,2
"затрата",1.7367,18,21
"затык",0.013086,2,2
"затылок",0.317054,6,9
"затяг",0.015143,3,3
"затяжка",0.020121,2,2
"зах",0.02222,6,9
"захват",1.033291,12,13
"захватчик",0.119629,2,3
"заход",0.468978,8,8
"захоронение",0.14144,2,2
"зацикленность",0.021466,2,3
"зация",0.018572,5,5
"зачисление",0.073294,1,2
"зачёт",0.167218,2,3
"зачётка",0.019465,1,2
"защита",11.616673,115,155
"защитник",1.184144,13,14
"защитное устройство",0.901383,1,2
"защищённость",0.177139,4,4
"заявка",17.550435,176,230
"заявление",6.796694,63,94
"заяц",0.350784,5,5
"заём",3.028334,30,50
"заёмщик",2.008074,18,35
"звание",1.449709,16,17
"звезда",8.289411,91,106
"звено",0.273134,3,3
"зверобой",0.034094,4,4
"зверь",3.238851,33,49
"зверёк",0.130333,4,5
"звон",0.129139,3,3
"звонница",0.029756,2,2
"звонок",5.054422,49,67
"звоночек",0.089216,5,6
"звук",5.437578,53,75
"звучание",0.998361,14,17
"звёздочка",0.283799,4,6
"здания и сооружения",1.006898,2,2
"здоровье",15.643378,151,210
"здравоохранение",1.428212,15,17
"здравый смысл",2.153704,4,4
"зек",0.024108,2,2
"зелень",1.717981,22,25
"зелье",0.10321,3,4
"земельный участок",2.406202,8,12
"землевладелец",0.057822,3,3
"землетрясение",0.490918,5,7
"земля",17.818137,183,311
"землянин",0.086851,3,3
"земной шар",1.347851,5,5
"зендея",0.013429,2,2
"зеркало",1.420294,15,18
"зима",2.338189,27,29
"зимник",0.046151,1,10
"злак",0.033369,1,2
"зло",2.868357,32,38
"злоба",1.739062,23,33
"злодей",0.475722,6,9
"злодейка",0.019438,3,3
"злое",0.094527,3,3
"злоключение",0.057822,3,3
"злоумышленник",1.876598,25,26
"злоупотребление",0.342286,4,4
"змея",0.4089,6,19
"знак минус",1.185992,2,2
"знакомая",0.552734,7,7
"знакомство",4.406744,46,56
"знакомый",3.836724,40,47
"знаменитость",0.765206,13,13
"знамя",1.436648,14,27
"знание",11.788103,119,162
"значимость",1.098733,11,15
"зоб",0.016122,2,2
"зов",0.394361,9,11
"зоват",0.01939,5,6
"зодиак",0.073763,4,4
"зож",0.276065,44,52
"золото",2.327924,21,33
"золотое правило",2.866898,3,3
"золотой",0.405088,5,6
"золотуха",0.017157,1,2
"зомби",0.606742,15,28
"зона",7.329231,68,101
"зонтик",0.063125,1,2
"зоопарк",0.224173,4,4
"зрачок",0.050457,2,2
"зрелище",0.646841,8,8
"зрелищность",0.029756,2,2
"зрелость",0.222333,6,8
"зрение",2.52198,27,30
"зритель",2.385507,27,29
"зуб",3.678935,36,48
"зубнюк",0.012424,1,2
"зубчик",0.10373,6,7
"зуд",0.048182,3,3
"зуда",0.015939,3,4
"зуем",0.018572,5,5
"зум",0.04786,4,8
"зять",0.126519,2,3
"ива",0.063815,1,4
"игла",0.947404,9,20
"иглу",0.082903,3,5
"игра",70.4542,620,1048
"игра на выживание",5.331259,3,3
"играющая",0.034896,3,3
"играющий",0.061234,2,2
"игроиндустрия",0.013429,2,2
"игрок",21.47486,218,284
"игроман",0.013429,2,2
"игромание",0.029756,2,2
"игротека",0.041385,9,10
"игрушка",4.714334,44,65
"идеал",1.316195,15,15
"идеальное состояние",3.297988,3,3
"идеальное тело",2.887826,2,2
"идеальность",0.01481,1,2
"идентификатор",0.063815,2,2
"идентификация",0.170902,4,4
"идентичность",0.175378,3,3
"идеология",0.967255,9,13
"идея",21.770701,195,317
"идиллия",0.053747,2,2
"идиома",0.016802,2,2
"идиот",0.550233,6,10
"иерархия",0.185433,3,4
"изба",0.121778,2,2
"избегание",0.059391,5,5
"избежание",0.118696,2,2
"избиение",0.194476,3,3
"избранник",0.778514,10,14
"избранница",0.079577,4,4
"избыток",1.167835,15,19
"известное",0.374862,5,5
"извилина",0.032864,2,2
"извинение",1.064043,17,20
"извлечение",0.289445,5,5
"изгиб",0.90128,27,29
"издание",12.778543,130,159
"издательство",1.400047,19,24
"издевательство",0.242371,4,4
"излечение",0.089566,3,4
"излишество",0.061234,2,2
"излияние",0.044296,3,3
"изложение",2.514278,40,53
"излучение",0.346785,5,5
"измельчение",0.019465,1,2
"измена",1.819392,25,37
"изменение",16.265185,152,232
"изменчивость",0.030454,1,2
"измерение",0.310857,3,4
"износ",0.137961,2,2
"изображение",2.793581,29,35
"изобретательность",0.078906,3,3
"изобретение",0.774663,9,10
"изоляция",0.180641,3,3
"изумруд",0.038926,2,2
"изъятие",0.116466,1,2
"изысканность",0.050457,2,2
"изюм",0.223565,3,13
"изюминка",0.34256,7,7
"икона",1.022145,12,12
"иконка",0.063815,2,2
"иконостас",0.066351,2,2
"икра",0.20389,4,4
"илана",0.013429,2,2
"иллюстратор",0.044296,3,3
"илот",0.012747,1,3
"имба",0.013429,2,2
"имбирь",0.50175,12,20
"имение",0.133838,2,4
"именна",0.01481,1,2
"имидж",0.265044,3,3
"иммунитет",1.201283,12,25
"импортёр",0.154747,3,4
"импотенция",0.033029,3,3
"импрессионист",0.046656,2,4
"импульс",3.206726,40,62
"имущество",3.142806,29,44
"инвалид",1.071488,11,13
"инвалидность",0.465274,4,14
"инвентарь",0.79988,11,15
"инверсия",0.032382,2,3
"инвестирование",0.443059,6,7
"инвестиция",3.269869,33,44
"инвестор",3.211666,28,47
"инвестпортал",0.012914,2,2
"инвестпроект",0.117247,2,3
"инвизер",0.012424,1,2
"инвокер",0.013429,2,2
"ингредиент",2.370971,38,45
"индеец",0.460287,7,8
"индейка",0.03957,2,2
"индексация",0.118696,2,2
"инди",0.040363,6,6
"индианка",0.015684,2,6
"индивидуальность",0.850515,14,20
"индивидуум",0.538513,11,17
"индикатор",0.127599,2,2
"индуизм",0.041745,2,3
"инерция",0.233556,4,4
"инженер",1.937437,21,23
"инженерия",0.216227,8,9
"инжиниринг",0.087789,4,5
"инжир",0.024374,1,3
"инициатива",4.091737,40,54
"инициатор",0.18221,2,2
"инициация",0.063815,2,2
"инклюзия",0.013429,2,2
"инновационность",0.013429,2,2
"инновация",1.720865,17,24
"инопланетянин",0.267369,6,7
"иностранец",1.117312,13,15
"иностранная валюта",2.072421,5,6
"инсайд",0.017193,1,2
"инсайдер",0.037208,8,8
"инсайты",0.013429,2,2
"инспектор",0.765302,7,11
"инст",0.022,7,7
"инстаграм",0.018357,6,6
"инстал",0.013429,2,2
"инсталляция",0.125946,3,3
"инстанция",0.364372,4,4
"инстасамка",0.013429,2,2
"инстинкт",1.249914,15,22
"институт",1.612316,19,21
"инструкция",3.323016,37,42
"инструкция по применению",1.332994,2,2
"инструмент",13.194486,133,168
"инструментал",0.023715,8,8
"инсулин",0.088021,2,3
"инсульт",0.658896,12,14
"интарсия",0.013429,2,2
"интеграций",0.013429,2,2
"интеграция",0.535996,6,6
"интеллект",4.484824,59,78
"интеллектуал",0.123276,2,2
"интенсив",0.020906,6,8
"интенсивность",0.263507,4,4
"интерактив",0.040363,6,6
"интерактивов",0.013429,2,2
"интервал",0.757858,13,15
"интервью",4.60682,47,57
"интервьюер",0.018519,1,2
"интерес",7.239586,73,92
"интернат",0.139144,2,2
"интерфейс",8.334729,103,106
"интершум",0.016172,4,4
"интерьер",1.657861,18,20
"интонация",0.139144,2,2
"интрига",1.28332,15,15
"интроверт",0.020233,6,8
"интуиция",1.101363,17,22
"инулин",0.012969,1,3
"инфа",0.11368,8,8
"инфантильность",0.020121,2,2
"инфаркт",0.160691,3,3
"инфекционное заболевание",2.087419,4,4
"инфекция",1.222676,14,18
"инфинити",0.016802,2,2
"инфляция",0.780686,8,10
"инфо",0.033528,3,6
"инфобизнес",0.013884,2,3
"инфоповод",0.016802,2,2
"инфопродукт",0.017667,4,5
"информа",0.015143,3,3
"информационная система",2.885121,2,2
"информирование",0.236551,4,4
"информированность",0.050457,2,2
"инфостилер",0.013429,2,2
"инфраструктура",1.932061,20,25
"инцидент",1.198274,12,15
"инъ",0.020286,6,6
"инъекция",0.848887,18,54
"ипотека",1.725569,16,30
"ирбис",0.01962,2,4
"ирония",0.957607,11,16
"иск",0.631683,7,7
"искажение",0.562558,9,14
"искание",0.136279,5,6
"искатель",0.145885,5,7
"исключение",2.586512,29,31
"исковая давность",0.280271,1,2
"искра",0.745964,14,17
"искренность",0.904655,13,15
"искупление",0.098267,3,3
"искусственный интеллект",3.27842,19,22
"искусство",6.070751,61,88
"искусствовед",0.147812,6,6
"испанец",0.268802,3,5
"исполнение",7.46702,75,94
"исполнитель",2.191451,22,28
"исполнительница",0.066134,3,3
"исполь",0.027144,10,10
"использование",12.799192,121,185
"используи",0.012424,1,2
"исправление",5.230284,60,76
"исправление ошибок",1.542673,2,2
"испытание",4.486533,45,57
"исследование",12.291483,124,167
"истеблишмент",0.057813,1,2
"истерика",0.305619,3,5
"истеричка",0.027629,1,5
"истерия",0.093767,2,3
"истечение",0.242851,3,3
"истинное значение",2.05074,3,3
"исток",1.482461,18,32
"историк",0.451408,5,5
"историко",0.015143,3,3
"история",34.450343,316,500
"источник",6.368152,72,90
"источник звука",1.927212,2,2
"источник света",2.254747,2,2
"истощение",0.687645,13,14
"истребитель",0.115495,2,2
"исход",0.892181,9,11
"исходник",0.08129,4,5
"исходное положение",0.840611,1,3
"исходный код",2.717385,11,13
"исходящая",0.018765,1,3
"исцеление",1.232612,15,27
"исчезновение",0.925554,11,14
"итальянец",0.396529,5,5
"итоговая сумма",1.515009,2,2
"ить",0.019845,6,6
"ихъ",0.012424,1,2
"ишак",0.02753,3,4
"ишемия",0.020121,2,2
"йог",0.530078,32,39
"йога",0.438795,12,12
"йогавкрасноярск",0.013429,2,2
"йогурт",0.107276,2,3
"йод",0.464118,11,27
"йохан",0.013429,2,2
"йоханнес",0.036771,4,4
"кабала",0.029756,2,2
"кабан",0.076665,2,3
"кабанёнок",0.013833,1,5
"кабачок",0.160022,2,13
"кабель",0.137961,2,2
"кабинет",9.53981,101,114
"кабинка",0.112593,3,3
"каблук",0.177667,3,3
"кабмин",0.099195,3,3
"кавер",0.101393,10,14
"кадмий",0.020121,2,2
"кадр",5.038805,52,63
"каж",0.013429,2,2
"каждая",0.152706,3,3
"казан",0.08083,8,14
"казанец",0.082925,2,2
"казарма",0.132984,2,2
"казино",0.795036,8,16
"казнь",0.142513,1,3
"кайф",0.810114,19,21
"кайфуля",0.013429,2,2
"какао",0.320109,7,11
"кал",0.050907,2,4
"калган",0.013429,2,2
"календарь",0.949997,10,12
"календула",0.023172,3,5
"калибровка",0.024667,7,11
"калий",0.144799,6,7
"калика",0.055094,14,14
"калин",0.048252,2,5
"калина",0.132127,2,28
"калитка",0.08068,2,2
"калория",0.20684,4,7
"кальджубас",0.015143,3,3
"кальджубасик",0.013429,2,2
"калькулятор",0.058433,2,2
"кальций",0.310287,8,10
"кальян",0.373463,25,29
"кальянчик",0.045975,22,22
"кальянщик",0.032401,14,14
"калюмбасик",0.016857,4,4
"камбала",0.016802,2,2
"камбэк",0.036771,4,4
"камелия",0.016802,2,2
"каменщик",0.066351,2,2
"камень",3.076592,26,47
"камера",2.425828,26,29
"кампания",3.908757,39,50
"канал",16.417442,157,223
"канал связи",3.245399,3,3
"канализация",0.151608,2,2
"канарейка",0.021592,1,3
"канат",0.208619,6,7
"канва",0.153398,2,2
"кандидат",1.253362,14,14
"кандидоз",0.019184,4,9
"каникулы",1.956031,19,27
"канистра",0.046738,2,2
"кантри",0.032864,2,2
"капель",0.226103,10,10
"капелька",0.228893,3,5
"капельница",0.05955,2,3
"каперс",0.021782,3,4
"капец",0.033029,3,3
"капибара",0.015939,3,4
"капитал",1.540269,17,18
"капитализм",0.122205,1,2
"капитан",3.350123,36,56
"капля",2.508631,25,33
"каприз",1.781924,42,45
"капсула",0.391872,10,14
"капуста",1.005781,12,15
"капха",0.012521,2,2
"капхи",0.013359,2,3
"капюшон",0.06296,2,2
"кара",0.173033,4,4
"караидель",0.013429,2,2
"карандаш",0.793976,9,11
"караоке",0.074625,7,10
"карат",0.056108,2,3
"каратэ",0.034197,2,3
"карго",0.013429,2,2
"кардамон",0.061787,5,6
"кардиган",0.11124,7,7
"каркас",0.205165,4,4
"карлик",0.168991,4,14
"карма",0.942208,14,75
"карман",1.830102,20,21
"каротин",0.025181,3,3
"карпаччо",0.015143,3,3
"карт",1.724787,25,28
"карта",19.338859,153,319
"картель",0.129674,5,7
"картинка",3.705768,39,45
"картон",0.294512,3,4
"картотека",0.03592,2,2
"картофель",1.080858,10,24
"карточка",5.931565,61,75
"карточная игра",6.768582,5,5
"карточнаявойнаколец",0.013429,2,2
"картошечка",0.02753,3,4
"картошка",0.883328,8,14
"карусель",1.081105,20,20
"каршеринг",0.01664,3,5
"карьер",0.435904,8,9
"карьера",5.98815,61,76
"касание",0.101875,4,4
"касса",0.583617,7,7
"кастер",0.016122,2,2
"кастомизация",0.023386,1,4
"касторовое масло",2.007813,2,2
"кастрюля",0.59617,10,11
"катаклизм",0.489221,8,11
"катализатор",0.083365,2,2
"каталог",0.888687,11,11
"каталонец",0.189318,7,7
"катание",0.706471,11,11
"катастрофа",2.280738,23,29
"катер",0.186398,3,3
"катидид",0.012424,1,2
"каток",0.438713,9,10
"католик",0.107276,2,3
"катрен",0.013429,2,2
"катушка",0.103296,2,2
"кафе",2.24251,24,30
"кафедра",0.274985,3,3
"кафешка",0.085071,2,3
"качели",0.105555,3,3
"качес",0.014199,2,3
"качество",14.96411,137,210
"качество входное",2.29785,2,2
"каша",1.275319,14,19
"кашель",0.410839,8,14
"кашемир",0.020203,3,3
"кашица",0.065005,2,5
"каштан",0.068486,2,5
"каюк",0.020286,6,6
"квадрат",0.259215,3,3
"квадратик",0.149945,3,3
"квадрокоптер",0.014199,2,3
"квадроцикл",0.032864,2,2
"квал",0.016415,2,7
"квалификация",1.187194,11,16
"квартирка",0.066351,2,2
"квартирник",0.012424,1,2
"кварц",0.052607,1,6
"квас",0.218229,5,9
"квест",0.84574,36,48
"квиз",0.017837,5,5
"квинтэссенция",0.074831,3,3
"квитанция",0.14974,2,2
"кеа",0.012524,1,3
"кед",0.095942,4,5
"кедр",0.10526,2,4
"кейс",0.794962,36,44
"кемпа",0.015143,3,3
"кепка",0.091484,2,4
"керамист",0.013429,2,2
"кетчуп",0.032544,1,2
"кефир",0.289415,7,12
"кешью",0.018731,4,7
"кибер",0.059391,5,5
"кибербезопасность",0.022829,7,8
"кибермошенник",0.015143,3,3
"кибероружие",0.012424,1,2
"киберспорт",0.013429,2,2
"киберспортсмен",0.024547,8,9
"киви",0.035902,2,3
"кий",0.090023,7,7
"кик",0.012424,1,2
"киллер",0.174048,4,5
"кило",0.068845,2,2
"килокалория",0.080311,3,7
"кимоно",0.029756,2,2
"кин",0.020121,2,2
"кинематограф",3.393151,46,54
"кинетика",0.012424,1,2
"кинза",0.025601,1,4
"киноиндустрия",0.053221,2,2
"кинологмосква",0.013429,2,2
"кинопоказ",0.029756,2,2
"кинопродюсер",0.017157,1,2
"кинорежиссёр",0.120338,3,4
"кинотеатр",0.723201,8,9
"кинофестиваль",0.124745,2,2
"кинофильм",0.082925,2,2
"киоск",0.144714,2,2
"кипарис",0.023386,1,4
"кипение",0.455315,9,11
"кипер",0.016802,2,2
"кипяток",1.539489,22,36
"кирпич",0.580051,8,8
"кирпичик",0.038747,3,4
"кисель",0.04888,3,3
"кислород",0.577007,8,9
"кислота",1.275868,12,25
"кислотность",0.061125,4,5
"киста",0.029756,2,2
"кисть",1.037308,12,13
"кит",0.369349,7,8
"китаец",0.599787,7,8
"ких",0.013429,2,2
"кишечник",1.043236,19,28
"кишка",0.291113,7,8
"клавиатура",0.223502,3,5
"клавиш",0.032864,2,2
"клавиша",0.09357,2,2
"кладбище",0.926497,10,12
"клан",0.694583,8,12
"клас",0.029756,2,2
"класс",10.388072,96,144
"классик",0.507062,8,8
"классика",1.325532,16,17
"классификация",0.163323,2,2
"классицизм",0.126684,5,9
"классная",0.062235,3,3
"кластер",0.463466,5,8
"клатч",0.013429,2,2
"клевер",0.026597,2,2
"клевета",0.471158,8,9
"клейкая лента",0.720785,2,2
"клетка",4.645973,35,79
"клеточка",0.095586,2,2
"клещ",0.086851,3,3
"клиент",19.082307,145,321
"клиентура",0.052607,1,6
"клизма",0.023386,2,2
"клик",0.641105,21,23
"клика",0.038693,2,2
"кликуха",0.015143,3,3
"климат",0.720367,8,8
"клиника",1.816327,19,22
"клининг",0.060101,3,4
"клип",3.093262,47,67
"клиповость",0.012424,1,2
"клиринг",0.02075,1,5
"кличка",0.402398,6,8
"клок",0.144537,5,5
"клон",0.167856,3,5
"клоп",0.020121,2,2
"клоун",0.565405,11,14
"клочок",0.957505,31,40
"клуб",8.667523,96,120
"клубень",0.02397,1,2
"клубника",0.198438,5,7
"клубок",0.15932,4,4
"клумба",0.089426,2,2
"клык",0.102699,3,7
"клю",0.016857,4,4
"клюв",0.063815,2,2
"клюква",0.112468,4,4
"ключ",5.439984,50,77
"ключик",0.119205,4,5
"клятва",0.387565,7,9
"клён",0.053181,1,4
"книга",21.2986,152,413
"книжка",0.982883,10,12
"кнопка",2.253338,23,29
"княгиня",0.07607,2,2
"князь",0.354714,3,6
"кобра",0.022881,2,3
"ковбой",0.060101,3,4
"коворкинг",0.019072,4,7
"ковш",0.038002,2,3
"ковёр",1.635738,16,27
"коготь",0.679724,10,27
"когтеточка",0.014019,1,6
"код",3.841174,38,52
"кода",1.120777,21,27
"кодекс",0.488131,5,7
"кодинг",0.012424,1,2
"кодирование",0.033472,2,4
"кожа",8.837718,63,158
"кожура",1.034255,28,30
"коза",0.165039,3,4
"козелок",0.012424,1,2
"козерог",0.033227,1,2
"козлы",0.013429,2,2
"козлятина",0.015421,2,5
"козырь",0.179913,3,3
"козёл",0.200275,4,4
"койка",0.123276,2,2
"кокаин",0.208743,3,4
"кокетка",0.020121,2,2
"кокос",0.057822,3,3
"кокосовое масло",2.838013,4,8
"коктейль",1.579971,23,24
"кол",0.066351,2,2
"колба",0.076555,7,7
"колбаса",0.647445,7,13
"колбаска",0.138084,5,5
"колебание",2.872778,24,48
"коленка",0.192516,3,3
"колено",2.129366,22,26
"колесико",0.078395,2,2
"колесо",2.327588,24,30
"колечко",0.338163,9,9
"колея",0.220989,4,4
"колибри",0.038926,2,2
"колика",0.041724,3,3
"колит",0.031908,3,3
"количественная характеристика",0.651296,2,2
"коллаб",0.013429,2,2
"коллаборация",0.037412,3,3
"коллаген",0.026597,2,2
"коллаж",0.103714,2,2
"коллапс",0.165772,3,3
"коллега",6.810513,72,84
"коллегия",0.183979,2,2
"колледж",0.827997,10,10
"коллектив",3.702592,39,46
"коллектор",1.208404,13,52
"коллекционер",0.217273,4,4
"коллекция",4.062832,46,48
"колода",0.399728,10,18
"колодец",0.211239,3,4
"колокольня",0.235392,6,6
"колония",0.652452,7,8
"колонка",0.390436,7,7
"колонна",0.990657,10,13
"колоннада",0.030454,1,2
"колонок",0.040562,1,2
"колорит",0.089426,2,2
"колпачок",0.038926,2,2
"колтун",0.02037,6,7
"колхоз",0.366005,4,5
"колыбельная",0.03662,1,2
"колышек",0.019465,1,2
"кольцо",1.238908,15,18
"коляска",1.022974,13,13
"ком",1.733767,22,22
"команда",31.34715,296,443
"командировка",0.439048,5,5
"комбинация",1.539908,17,24
"комбинезон",0.066351,2,2
"комбинирование",0.016441,1,2
"комбо",0.018572,5,5
"комедия",4.971277,62,65
"комент",0.018572,5,5
"комета",0.060018,2,2
"комик",0.047647,2,2
"комикс",0.406405,9,10
"комитет",3.824751,41,45
"коммент",0.699402,22,23
"комментатор",0.372735,7,8
"коммерсант",0.203681,2,3
"коммерческое использование",1.661972,2,4
"коммуналка",0.242211,4,5
"коммунальное хозяйство",1.561032,5,5
"коммунальные услуги",3.409201,5,5
"коммунизм",0.150258,2,2
"коммуникация",2.312218,24,28
"коммунист",0.227544,2,3
"коммьюнити",0.030242,4,4
"комната",4.983997,52,62
"комнатная температура",1.946511,10,11
"комок",0.374617,14,18
"комп",0.225234,3,4
"компания",27.489875,248,417
"компаньон",0.1926,6,7
"компас",0.034587,2,2
"компенсация",1.82131,18,24
"компетентность",0.078395,2,2
"компетенция",1.793719,19,22
"компиляция",0.026597,2,2
"комплекс",4.886343,51,63
"композитор",0.608415,7,7
"композиция",3.43397,36,43
"компонент",1.400733,16,16
"компонента",0.382903,6,6
"компостирование",0.013429,2,2
"компресс",0.042141,3,5
"компрессор",0.041882,2,2
"компрометация",0.05685,7,7
"компромисс",0.41944,5,5
"компьютер",4.802551,52,56
"комсомол",0.08485,2,3
"комфорт",2.165051,26,34
"комьюнити",0.061765,6,7
"кон",0.996652,16,17
"конвейер",0.128985,2,2
"конверсия",0.561705,14,22
"конверт",0.210684,2,3
"конвертация",0.071295,2,2
"конгресс",1.16642,13,14
"кондиционер",0.22741,3,4
"кондиционирование",0.030454,1,2
