First node,Second node,Tension,Support
"наркомания","лечениеалкоголизм",0.157554,26
"наркомания","консультацияпсихолог",0.157554,26
"наркомания","логос",0.157554,26
"работа","использование",0.157523,42
"игра","режим",0.157401,36
"диск","экшен",0.15738,18
"друг","нога",0.157258,40
"жизнь","творчество",0.157177,31
"ощущение","обычай",0.156991,30
"издание","компьютер",0.156959,26
"государство","нацпроектэкология",0.156806,11
"дорога","обстоятельство",0.156711,33
"банк","дайджест",0.156548,17
"игра","предзаказ",0.156515,27
"триллер","драм",0.156487,38
"работа","идея",0.156417,55
"работа","инструмент",0.156246,44
"рецепт","аюрведа",0.156215,15
"бизнес","программа",0.155993,58
"действие","намерение",0.155969,56
"монтаж","головоломка",0.155829,19
"поддержка","забота",0.155756,32
"воля","сатсанг",0.155599,17
"ребёнок","ощущение",0.155568,58
"ощущение","намерение",0.155518,56
"игра","жанр",0.155515,28
"сила","влияние",0.155392,35
"ощущение","душа",0.155151,49
"кредит","заёмщик",0.155039,15
"трек","сингл",0.154978,19
"работа","источник",0.154764,31
"боевик","фэнтези",0.15476,28
"действие","горе",0.154661,40
"деньги","договор",0.154556,35
"триллер","криминал",0.15445,24
"проблема","реальность",0.154442,32
"жизнь","медитация",0.154155,19
"жизнь","размышление",0.154155,19
"ощущение","страдание",0.1541,44
"ребёнок","сила",0.154023,74
"чат","бот",0.153978,22
"участие","малыйбизнес",0.153937,29
"художник","масло",0.153875,38
"работа","внимание",0.153871,51
"женщина","любовь",0.153737,64
"жизнь","верхушка",0.153441,15
"дом","мать",0.153405,47
"отец","сын",0.153363,31
"жизнь","прошлое",0.153341,23
"участник","заявка",0.15329,50
"финансы","финансоваяграмотность",0.15328,15
"участие","конкурс",0.153277,41
"дело","положение",0.153054,26
"жизнь","указание",0.153019,20
"сознание","индивидуум",0.152931,11
"поддержка","проблема",0.15281,66
"сила","учение",0.152789,15
"работа","список",0.152766,48
"жизнь","чистота",0.152761,22
"проект","эксперт",0.152742,50
"противник","интерфейс",0.152658,37
"сердце","почка",0.152616,15
"ребёнок","дочь",0.152606,29
"ощущение","страх",0.152335,54
"психотерапия","созависимость",0.152266,27
"наркомания","созависимость",0.152266,27
"жизнь","лёгкость",0.152194,17
"жизнь","свадьба",0.152194,17
"жизнь","колебание",0.152194,17
"работа","книга",0.152099,47
"жизнь","возраст",0.151902,34
"доктор","печень",0.15181,19
"доктор","лекарство",0.15181,19
"компьютер","озвучка",0.151806,26
"психотерапия","нейрографик",0.151697,26
"психотерапия","алко",0.151697,26
"наркомания","нейрографик",0.151697,26
"наркомания","алко",0.151697,26
"репортаж","вивек",0.151656,16
"репортаж","ютьюб",0.151656,16
"жизнь","борьба",0.151474,32
"семья","жена",0.151446,40
"память","сражение",0.151416,18
"проект","предприниматель",0.151263,52
"жена","супруг",0.1512,23
"друг","намерение",0.151162,57
"сила","обида",0.151123,22
"работа","практика",0.15109,39
"жизнь","наркоман",0.15106,14
"игра","разработчик",0.151006,26
"мысль","горе",0.150806,40
"дело","мозг",0.150787,29
"язык","оружие",0.150636,26
"сила","принцип",0.150566,25
"жизнь","возлюбленная",0.150523,11
"жизнь","индивидуум",0.150523,11
"жизнь","следование",0.150523,11
"ребёнок","обида",0.150489,22
"работа","качество",0.150451,44
"диск","компьютер",0.150428,26
"действие","мысль",0.150427,48
"дело","обязанность",0.15018,31
"проблема","мышление",0.150009,23
"мелодия","клип",0.149978,23
"издание","сражение",0.149939,18
"обращение","фронт",0.149682,21
"жизнь","контакт",0.149551,34
"бизнес","курс",0.14943,38
"болезнь","печень",0.149129,19
"новость","финансоваяграмотность",0.149094,14
"доктор","профилактика",0.149029,16
"жизнь","повод",0.148986,23
"жизнь","наука",0.148986,23
"контроль","проникновение",0.14891,23
"проблема","восстановление",0.148876,24
"сила","разговор",0.148844,44
"друг","внимание",0.148758,50
"организм","вещество",0.148744,25
"вода","ложка",0.14867,21
"мысль","мышление",0.148405,23
"сила","движение",0.148368,37
"жизнь","психика",0.148344,16
"группа","пластинка",0.148215,16
"память","компьютер",0.148136,25
"осознанность","вивек",0.148124,17
"осознанность","ютьюб",0.148124,17
"проблема","орган",0.148113,26
"алкоголизм","психотерапия",0.148099,26
"марафон","сатсанг",0.148045,17
"действие","поведение",0.148041,30
"желание","обстоятельство",0.147884,32
"выход","экшен",0.147813,17
"победитель","расписание",0.147704,24
"клиент","продажа",0.147624,40
"жизнь","глубина",0.147602,20
"доктор","пациент",0.147585,20
"сила","усталость",0.147564,19
"ответ","поле",0.14755,35
"любовь","горе",0.147466,39
"ощущение","сердце",0.147387,49
"сила","обстоятельство",0.147336,32
"хакер","пло",0.147327,11
"жизнь","обман",0.147186,28
"жизнь","граница",0.147186,28
"сила","средство",0.147173,38
"сознание","осознанность",0.147102,18
"болезнь","стресс",0.146976,28
"маркетинг","маркетолог",0.146945,19
"выход","особенность",0.146921,41
"работа","метод",0.146893,33
"болезнь","профилактика",0.146889,16
"вода","огонь",0.146848,29
"сражение","озвучка",0.14679,18
"интерфейс","сражение",0.14679,18
"болезнь","вещество",0.146698,24
"игра","система",0.146487,64
"сила","эмоция",0.146461,35
"процесс","диск",0.14645,35
"работа","область",0.146432,56
"работа","стресс",0.146269,28
"банк","заёмщик",0.146255,14
"друг","лечение",0.14605,31
"работа","достижение",0.145952,34
"диск","сражение",0.145942,18
"ребёнок","глаз",0.14591,50
"мысль","поведение",0.145708,30
"жизнь","система",0.145697,66
